评论,正向指数,负向指数,情感分类
"('为什么会有豫章书院这种东西？有求必有应，愚昧的家长们自以为自己孩子调皮难管教没出息，就是孩子的错，把责任全都推给自己的子女，却不知小孩的成长很大因素是环境影响的。自己没做到家长的义务却把锅甩给孩子们，这时候豫章书院这种无良人士像个救世主一样，正义凛然地说我们能把你们的锅背起来帮你们教（施）育（暴）孩子。呵呵，这对那些只顾自己的家长们来说简直是天上掉馅饼，他们巴不得有人来管教他们，因为这样自己就可以完完全全摆脱责任，能随便在媒体的面前哭惨。那谁能听到孩子的哭声呢？说白了，豫章书院的源头就是那一群愚昧的家长们。而且像豫章书院这种教育机关的建立，我们国家为什么这么轻易让他们通过？那可不是吗，咱们国情有什么不能靠关系靠钱呢？审查制度就他妈是个屁。咱们这么努力的去伸张正义去举报，多少回了？全部都是以证据不足为由简简单单地把我们这群苦难者的救命稻草硬生生拔断。正义毫无作为，恶魔逍遥快活。这不就是就是社会的黑暗吗？我们眼里都看得很清楚，这个社会没我们想象的那么美好，正义永远只是少部分的。和平大多数都是表象。迟到的正义，永远都不值一提。在面对庞大的势力面前，只希望各位问心无愧，仅此而已……你们，已经很努力了',)","('0.029%',)","('99.971%',)",负向
"('回复 @E-HENTAl :我这个人不值一提，他们也不会对我有兴趣，倒是心疼一直以来跟他们抗争的人',)","('0.251%',)","('99.749%',)",负向
"('小心命没了',)","('0.24%',)","('99.76%',)",负向
"('希望大家能让这个视频能在这停留的时间更长好吗！真的！真的！需要更多的人看见这件事情，我们大多也许都是普普通通的人，我们看见了这件事情也许也感到无能为力，但真的需要更多的人看见啊！也许在我们躺着看这个视频的时候，还有更多的人在受着这样的苦啊！我们不能只单单的关注这一件事情啊！这已经是一个现象级的事态了啊！我们需要用这一点点微弱的力量来撑起别人的希望啊！',)","('3.826%',)","('96.174%',)",负向
"('吴君豹，反过来念。人如其名',)","('99.43%',)","('0.57%',)",负向
"('共青团给出来！别整天给我看废青了！帮助他们！',)","('9.567%',)","('90.433%',)",负向
"('真是什么玩意儿都能当父母，建议生育子女也要考证，有些人根本不配拥有教育孩子的权利[嫌弃]自己不会教育还嫌孩子不够好，我呸',)","('0.171%',)","('99.829%',)",负向
"('up加油！小破站加油！[打call]',)","('99.805%',)","('0.195%',)",负向
"('记得暴走大事件的第四季，王尼玛批判一个叫做豫章书院的地方，打着“戒网瘾”和“让孩子听话”的旗号，虐待孩子，王尼玛说过的下面一段话让我记忆犹新：           假如有一天，你老了，走不动了，坐在屋子里怀念着青春年华时，突然一群大汉闯了进来，把你架起来，你的儿子手里拿着一张像是合同的东西，含着泪签了字。然后你就被送进了“养老书院”，在这里，你每天要背三千字的育儿经，背错一个字就用榔头敲一下大腿。你的三餐分别只有一个核桃，这是为了平衡膳食（不知道对不对），你每次大小便失禁，拉出来 的 尿 都让你喝下去，这是为了治疗你的糖尿病。有一天，养老书院被媒体曝光了，你的儿女却早已成为他们的走狗，为书院辟谣，。真到了那时候，你不要怨，这是爱！（转）',)","('14.208%',)","('85.792%',)",负向
"('这样的事，许多人认为是小事，可对于当事人，对于那些学生可能终身难忘！我们在面对自己权益受损时总是一味的妥协，认栽，这是我们的懦弱！up主和志愿者不仅仅是维护了自己的权益，更是维护了公共利益！然而能勇于去做的人少之又少，我挺up主！',)","('0.661%',)","('99.339%',)",负向
"('微博什么时候倒闭啊，什么钱都收，一天到晚搞些明星顶热搜，真的是不怕报应',)","('0.004%',)","('99.996%',)",负向
"('为什么播放量反而下降了，是什么灵异事件吗？？！',)","('0.179%',)","('99.821%',)",负向
"('转发没有错，支持没有错，你妈应该是怕你参与到这件事情，毕竟这件事情的危险性很高',)","('99.227%',)","('0.773%',)",负向
"('这是什么样的妈妈啊。。。我羡慕自己',)","('99.426%',)","('0.574%',)",负向
"('虽然说这个想法不太符合和谐社会价值观，还有点玛丽苏，但我还是想说，我要是有小说女主的身手，我半夜就直接暗杀这个屑校长。要是我有钱到能请得起保镖公司，我直接雇人拆了这个屑学校把里面的学生都带出来。但我没有。真的对不起我只是个又弱又没钱的死画漫画的。一切都只能靠志愿者们的努力。但我以后如果有条件我一定会加入志愿者们的活动。',)","('4.42%',)","('95.58%',)",负向
"('好人没好报 这个世界真的要处处小心呀',)","('2.719%',)","('97.281%',)",负向
"('直接按扫黑除恶来举报，被举报必被调查，只要被调查就会被社会关注，UP加油！我没有什么大的本事，但只要关于豫章书院的事情我都可以转发增加浏览量，让更多人知道与关注！！！',)","('0.794%',)","('99.206%',)",负向
"('@共青团中央 快来看看啊',)","('97.202%',)","('2.798%',)",负向
"('@共青团中央',)","('85.288%',)","('14.712%',)",负向
"('豫章书院应该接收像这次13岁少年杀10岁少女的案件里面那个13岁少年，他非常适合到豫章书院里面接受最严格的教育。',)","('98.907%',)","('1.093%',)",负向
"('他不收这种人的[嫌弃]',)","('5.483%',)","('94.517%',)",负向
"('不光相信还要声援的路过。这一次发出声音，你也能成为光。因为曝光豫章书院，我朋友被逼到自杀av73372900当事人告诉你豫章书院完整始末av73836578吴军豹到受害者家里挑衅2019六月份av69666407微博网友小剑暗访豫章书院2017年av15927422两年前的豫章书院恐怖恶行还记得么av73431494夜探豫章书院2019年av73889593如果书院没出事家长还会把孩子送进去2017年av73682949无法告别的临沂网戒中心av8477483杨永信电人实录av42492211细数杨永信的三十一条罪行av7410837',)","('1.633%',)","('98.367%',)",负向
"('无法提供什么帮助，只能三连给个支持。我时常怀疑自己，明明我知道社会那么多绝望，但是每次都是微笑着告诉别人希望，这样做到底对不对。或许也是有up主这样的人，给予了我希望。',)","('0.684%',)","('99.316%',)",负向
"('还是再说一句，现在豫章书院已经转移到：南昌龙悔心理教育专修学校，毕竟法人都是吴君豹，虽然改了名字，但是这个学校本质上还是和豫章书院是一样的，希望大家能扩散开让更多人知道！',)","('5.271%',)","('94.729%',)",负向
"('我虽然没有在那些武校和类似豫章书院的学校上过学 但我以前上的学校就是军事化管理 我从那个学校毕业了以后的一年内 都一直做噩梦 所以说 我在不是豫章书院这种地方的都有这么大的影响 那那些受到豫章书院毒害的人是有多么的害怕 受到的影响必定是巨大的 希望up加油 也要注意安全 万事小心谨慎 别让那些cs得逞！！',)","('23.796%',)","('76.204%',)",负向
"('复制这条信息！现在豫章书院已经转移到：南昌龙悔心理教育专修学校，毕竟法人都是吴军豹，虽然改了名字，但是这个学校本质上还是和豫章书院是一样的，希望大家能扩散开让更多人知道！星星之火可以燎原！【/cp】',)","('57.066%',)","('42.934%',)",负向
"('@共青团中央',)","('85.288%',)","('14.712%',)",负向
"('up保护好自己，我们只有默默支持你！',)","('99.953%',)","('0.047%',)",负向
"('补充说明：有网友反应“只给几个举报通道没什么意义，而是如何解决这个所谓证据不足的问题。”凌晨咨询了书记和公安省厅领导，由于属地（浙江）限制无法受理无法越权管辖，跨区如果投给相关部门转达有很大几率石沉大海，团仔尽力了对不起，在此建议各位网友和UP将情况做梳理通过网上信访的方式，同时建议增加曝光度，希望能引起重视。“若你我皆是一束光，就发一份热吧。”我向总理说句话/中华人民共和国中央人民政府：https://liuyan.www.gov.cn/国家投诉受理办公室/国家信访局网上信访：http://wsxf.gjxfj.gov.cn/zfp/webroot/index.html',)","('0.196%',)","('99.804%',)",负向
"('地狱空荡荡，魔鬼在人间。阴阳分两路，人鬼皆殊途。人知鬼恐怖，鬼晓人心毒。',)","('0.178%',)","('99.822%',)",负向
"('子沐，谢谢你，对不起我来晚了。但是我们将会加油！',)","('96.409%',)","('3.591%',)",负向
"('青少年保护法第四条 保护未成年人的工作，应当遵循下列原则：（一）保障未成年人的合法权益；（二）尊重未成年人的人格尊严；（三）适应未成年人身心发展的特点；（四）教育与保护相结合。第十三条 父母或者其他监护人不得殴打，虐待未成年人。父母或者其他监护人有前款所列行为，经教育不改的，人民法院可以根据有关人员或者有关单位的申请，撤销其监护人的资格；依照民法通则第十六条的规定，另行确定监护人。第三章 学校保护第十三条 学校应当全面贯彻国家的教育方针，对未成年学生进行德育、智育、体育、美育、劳动教育以及社会生活指导和青春期教育。学校应当关心、爱护学生；对品行有缺点、学习有困难的学生，应当耐心教育、帮助，不得歧视。第十四条 学校应当尊重未成年学生的受教育权，不得随意开除未成年学生。第十五条 学校、幼儿园的教职员应当尊重未成年人的人格尊严，不得对未成年学生和儿童实施体罚、变相体罚或者其他侮辱人格尊严的行为。第十六条 学校不得使未成年学生在危及人身安全、健康的校舍和其他教育教学设施中活动。任何组织和个人不得扰乱教学秩序，不得侵占、破坏学校的场地、房屋和设备。第十七条 学校和幼儿园安排未成年学生和儿童参加集会、文化娱乐、社会实践等集体活动，应当有利于未成年人的健康成长，防止发生人身安全事故。第十八条 按照国家有关规定送工读学校接受义务教育的未成年人，工读学校应当对其进行思想教育、文化教育、劳动技术教育和职业教育。工读学校的教职员应当关心、爱护、尊重学生，不得歧视、厌弃。第四十八条 学校、幼儿园、托儿所的教职员对未成年学生和儿童实施体罚或者变相体罚，情节严重的，由其所在单位或者上级机关给予行政处分。第五十二条 侵犯未成年人的人身权利或者其他合法权利，构成犯罪的，依法追究刑事责任。虐待未成年的家庭成员，情节恶劣的，依照刑法第一百八十二条的规定追究刑事责任。司法工作人员违反监管法规，对被监管的未成年人实行体罚虐待的，依照刑法第一百八十九条的规定追究刑事责任。阳光之下必有阴影，你我皆为光，黑暗将无所遁形。',)","('62.958%',)","('37.042%',)",负向
"('现在豫章书院已经转移到：南昌龙悔心理教育专修学校，毕竟法人都是吴君豹，虽然改了名字，但是这个学校本质上还是和豫章书院是一样的，希望大家能扩散开让更多人知道！',)","('37.818%',)","('62.182%',)",负向
"('……歪歪斜斜的每页上都写着“仁义道德”几个字。我横竖睡不着，仔细看了半夜，才从字缝里看出字来，满本都写着两个字是“吃人”！',)","('2.161%',)","('97.839%',)",负向
"('鲁迅的文章好多被移出教本，很可惜',)","('79.498%',)","('20.502%',)",负向
"('补充说明：有网友反应“只给几个举报通道没什么意义，而是如何解决这个所谓证据不足的问题。”凌晨咨询了书记和公安省厅领导，由于属地（浙江）限制无法受理无法越权管辖，跨区如果投给相关部门转达有很大几率石沉大海，团仔尽力了对不起，在此建议各位网友和UP将情况做梳理通过网上信访的方式，同时建议增加曝光度，希望能引起重视。“若你我皆是一束光，就发一份热吧。”我向总理说句话/中华人民共和国中央人民政府：https://liuyan.www.gov.cn/国家投诉受理办公室/国家信访局网上信访：http://wsxf.gjxfj.gov.cn/zfp/webroot/index.html',)","('0.196%',)","('99.804%',)",负向
"('在德国，起初他们追杀共产主义者，我没有说话———因为我不是共产主义者；接着他们追杀犹太人，我没有说话———因为我不是犹太人；后来他们追杀工会成员，我没有说话———因为我不是工会成员；此后他们追杀天主教徒，我没有说话———因为我是新教教徒；最后他们奔我而来，却再也没有人站出来为我说话了 。',)","('0.215%',)","('99.785%',)",负向
"('我爸当时只说了一句话：但他们把自己儿女送进去的时候，他们就是第一个失败者',)","('14.451%',)","('85.549%',)",负向
"('非军校和军人实行军事化管理就是在打着大义的旗号禁锢人身自由，应该列为非法',)","('0.122%',)","('99.878%',)",负向
"('正义别想打过利益，up辛苦了，但不希望你因此自杀，即使你很努力，但是没必要，现实社会罢了，记住小破站跟别的平台不一样，某音发这类的视频直接被镇压，某手因为各大网红热度大这件事也没轰动起来，但微视上的确有动静了！',)","('0.338%',)","('99.662%',)",负向
"('记得暴走大事件的第四季，王尼玛批判一个叫做豫章书院的地方，打着“戒网瘾”和“让孩子听话”的旗号，虐待孩子，王尼玛说过的下面一段话让我记忆犹新：           假如有一天，你老了，走不动了，坐在屋子里怀念着青春年华时，突然一群大汉闯了进来，把你架起来，你的儿子手里拿着一张像是合同的东西，含着泪签了字。然后你就被送进了“养老书院”，在这里，你每天要背三千字的育儿经，背错一个字就用榔头敲一下大腿。你的三餐分别只有一个核桃，这是为了平衡膳食（不知道对不对），你每次大小便失禁，拉出来 的 尿 都让你喝下去，这是为了治疗你的糖尿病。有一天，养老书院被媒体曝光了，你的儿女却早已成为他们的走狗，为书院辟谣，。真到了那时候，你不要怨，这是爱！（转）',)","('14.208%',)","('85.792%',)",负向
"('wb是真的秀，70国庆热度不如某明星摔倒',)","('17.492%',)","('82.508%',)",负向
"('社会本来就很多阴暗面，我只希望父母多关心自己的孩子，而不是把责任推给孩子自己和老师或者社会。',)","('18.528%',)","('81.472%',)",负向
"('传统文化的内涵没有被看到，却把严教扭曲成了中国人的奴性逼迫。不过是蒙骗那些并不真正懂得教育的家长们。真心希望政府采取措施，整改私立院校，以免造成过多的教育诟病与不公平的成分，这是由国情决定的。',)","('0.178%',)","('99.822%',)",负向
"('这个书院真的该死！根本就是在草菅人命！不过各位在唾骂的同时，也请保持理性，不是所有家长都毫无责任感，只能说自身局限性所致，因为很多孩子属于留守儿童，父母常年在外打工，身边只有爷爷奶奶照顾，除了给做饭穿衣，他们能做什么呢？会做什么呢？父母更不用说了，只有节假日才可能回来，平时寄点钱，什么也管不了，这种环境下小孩很容易沾上恶习，网瘾还算好的，而除了极个别自律性较强的人，谁敢说在这个年纪不会上瘾呢？                                         受限于文化素质的不足，他们的父母可选择的办法并不多，像什么心理辅导沟通疗法等等更无从谈起，只会棍棒教育，当这种办法不管用时，他们能怎么办？书院的出现对于父母就是一盏明灯，自然希望孩子在里面能变好，只不过被骗的很惨！说了这么多只是希望大家不要把家长全部妖魔化，其中一部分送进这里是没办法的办法，他们也疼爱自己的孩子，省吃俭用供上学，把最好的留给孩子，但各种因素之下，造成了如今的局面，他们的心里也很痛苦，也很自责，这也是社会亟待解决的问题！（为防止误伤，我说的是一部分，不是全部哦）',)","('0.02%',)","('99.98%',)",负向
"('虐待，体罚，关小黑屋，太多的阴暗面，太多的不合理，太多的伤害，然而部分家长却选择无视甚至支持，教育教育，家长只知道学校只知道老师，而忽视自己的作用的话，那孩子必定会受到外来不利因素的影响，而这个影响只靠老师和学校起到的作用并不大，正确的引导，好好的疏导才是家长所要做的，直接丢进所谓的教育机构，所谓的网戒学校，这种做法真的就是合理的吗？我们这代人要为下一代负责，不能走我们那代父母的路，孩子的成长需要有家长的陪伴以及疏导即使在没空，也应该腾出时间来与他说说话聊聊天，一年365天不可能每天每时每刻都有事，难道与自己的孩子交谈会有压力吗？父母与子女之间愉悦的沟通难道不也是放松自我的休息时间吗？多与子女沟通拉近与他们的距离，维护他们的权益，使他们在成长的过程中，知道自己不孤单，因为有父母的陪伴有家人陪伴，因为自己的家人是爱自己的，知道自己还有个温暖在家，有个值得慰藉的家。我不清楚有没有家长会看到这个视频，或者看到我这条评论，如果看到，那么请您与他好好沟通，聊聊天。只要你有耐心能让他感受到你关心，那他一定会有所改变，除非他已经彻底的变了！那这时候，花钱送入军队里锻炼都比送到那种恶心的教育机构来的有用。',)","('0.118%',)","('99.882%',)",负向
"('[吃瓜]要我说，校园欺凌也差不多，同时面临校园欺凌和家庭矛盾的孩子更加，家人的吵闹，同学的排挤，施暴者的欺凌，老师的针对……高二父母搞离婚，自认聪明没有暴露……周围没人理解，告诉他人又被但笑话……现实黑暗，无可奈何。让我很难相信他人。孤身一人，经历现实的黑暗，让我对现实有了抵触，向往二次元世界的美好，企图逃避黑暗。',)","('2.986%',)","('97.014%',)",负向
"('emmmm杨教授都没倒，这个不可能了，话说，（谁需要帮助，这个书院离我家挺近的，小声哔哔）',)","('5.447%',)","('94.552%',)",负向
"('@共青团中央',)","('85.288%',)","('14.712%',)",负向
"('干死，吴军豹',)","('0.441%',)","('99.559%',)",负向
"('赶快把视频缓存下来，怕被下架了',)","('16.086%',)","('83.914%',)",负向
"('网瘾少年真的是问题少年吗？我之前是是有网瘾可随着年龄的增长就慢慢的不喜欢上网了。网瘾不是处在爱玩的年纪才会发生的吗？需要戒吗？是问题少年吗？还是父母的问题？',)","('0.492%',)","('99.508%',)",负向
"('你就是光阿星星之火，可以燎原[爱心][爱心][爱心]',)","('99.999%',)","('0.001%',)",负向
"('真希望有关部门把邪恶的坏人早日绳之以法',)","('0.03%',)","('99.97%',)",负向
"('@共青团中央，@小央视频，@观察者网我不知道怎么@不出来请大家会@的都@一下让有能力的媒体关注到真正的弱势群体，',)","('5.096%',)","('94.904%',)",负向
"('@共青团中央',)","('85.288%',)","('14.712%',)",负向
"('名字后面打个空格就能@出来了',)","('6.363%',)","('93.637%',)",负向
"('温柔我会尽量帮你争取到热度和曝光的，请一定要注意安全啊加油！',)","('88.02%',)","('11.98%',)",负向
"('@共青团中央',)","('85.288%',)","('14.712%',)",负向
"('加油！',)","('99.995%',)","('0.005%',)",负向
"('大家尽量去温柔所有平台点个关注这是我们网民为数不多能做的',)","('77.074%',)","('22.926%',)",负向
"('如果这个视频上不了排行榜，那B站就真的变味了',)","('0.146%',)","('99.855%',)",负向
"('av73372900  请你看看这个。',)","('16.515%',)","('83.484%',)",负向
"('我就不明白 这种事情都曝光这么久了 正义呢?',)","('0.044%',)","('99.956%',)",负向
"('战士战死了的时候，苍蝇们所首先发见的是他的缺点和伤痕，嘬着，营营地叫着，以为得意，以为比死了的战士更英雄。但是战士已经战死了，不再来挥去他们。于是乎苍蝇们即更其营营地叫，自以为倒是不朽的声音，因为它们的完全，远在战士之上。 的确的，谁也没有发见过苍蝇们的缺点和创伤。 然而，有缺点的战士终竟是战士，完美的苍蝇也终竟不过是苍蝇。——鲁迅百年前的文章批判百年前的社会；百年前的文章亦批判如今的混乱。光面和黑暗是相生的，百年前黑暗中有光，如今党的光辉下也有阴影，黑暗永远不会消失，相信在党的领导下会让阴影越来越少。',)","('7.46%',)","('92.54%',)",负向
"('怎么掉出榜了？大概是b站撤了吧……不过对比别家，能挂几天第一也不错了[捂脸]',)","('11.341%',)","('88.659%',)",负向
"('回复 @理不尽三千烦恼丝 :是说这个视频，不过现在已经是第一了',)","('3.263%',)","('96.737%',)",负向
"('此后如竟没有炬火 你便是唯一的光',)","('2.687%',)","('97.313%',)",负向
"('加油加油加油！ 对不起我能做的只有三连',)","('99.754%',)","('0.246%',)",负向
"('每天都来刷一下坐等结果',)","('90.836%',)","('9.164%',)",负向
"('支持温柔，加油，因为有你们在我们的国家才能变的更好。',)","('99.995%',)","('0.005%',)",负向
"('吴君豹到底是谁啊？',)","('0.361%',)","('99.638%',)",负向
"('看名字就是一条断脊之犬[偷笑]',)","('97.331%',)","('2.669%',)",负向
"('上网一查就知道',)","('7.384%',)","('92.616%',)",负向
"('加油[支持][支持][支持]',)","('99.999%',)","('0.001%',)",负向
"('管好了是管好了，呵呵，sb家长得不到控制权吗，孩子是自己的产业，sb书院，学校老师都不能打，什么年代的啊？？？？？？？？唉……我也才初一……？？？？？施虐病吗？打人合法？？？？？？………………那些家长tm的，什么年代的？脑子瓦克啦？？？？？？？？',)","('0.006%',)","('99.994%',)",负向
"('真想去砸咯',)","('0.085%',)","('99.915%',)",负向
"('为什么父母要这样对待自己的孩子实在不行，可以断绝关系啊',)","('0.161%',)","('99.839%',)",负向
"('他们认为这是对孩子好，也是被蒙蔽了啊。大部分父母的初衷不是折磨孩子，豫章书院利用了家长的心理罢了。',)","('0.16%',)","('99.84%',)",负向
"('笔杆作枪杆之周树人，夫挥毫泼墨，夫抬手铿锵，夫是为夫也！精神作子弹之98K，君不舍昼夜，君奔走四方，君是为君乎！家和国需你这般堂堂正正蹚走在漫漫黑夜呼着：醒来！醒来！！站出来！！——自一名高五补习生',)","('95.45%',)","('4.55%',)",负向
"('豫章书院滚出中国！！！！！！人民万岁！学生万岁！如果食人魔胆敢命令我们！我们就要挥起拳头！砸向那些所谓的老师！',)","('0.094%',)","('99.906%',)",负向
"('已经[热词系列_三连]',)","('91.382%',)","('8.618%',)",负向
"('虽然我现在只是个高中生，但这种事去离我们不远，问一下作者，如果想加入你们，有渠道吗？',)","('10.332%',)","('89.668%',)",负向
"('恶人终将会得到惩罚！它们是不会有好下场的。你问我怎么知道？历史终将会证明这一切！',)","('2.738%',)","('97.262%',)",负向
"('支持！！！',)","('99.99%',)","('0.01%',)",负向
"('魏老师，真的是一个值得关注的正能量up',)","('99.998%',)","('0.002%',)",负向
"('热度降了[大哭][大哭][大哭]志愿者还好吗',)","('3.16%',)","('96.84%',)",负向
"('加油加油',)","('99.993%',)","('0.007%',)",负向
"('我们在支持你们！你们无论需要什么帮助我们都会立马站出来！',)","('99.771%',)","('0.229%',)",负向
"('4.18日，天气晴       那天上午9点钟，监狱的大门打开了，里面缓缓出来了一位瘦削但又极具气质的男子，他就是窃格瓦拉·周某。我们对他说，你今天刑期满了，可以走了，以后找个好工作吧。周笑了笑，缓缓抬起了他那精瘦的手臂，嘴角微微上扬，随后道了一句神秘的话：打工是不可能打工的，这辈子都不可能打工。话语刚落，响起一下清脆的打手指的声音。我和同事的耳朵忽然失聪了几秒，我意识到出事了，随后我马上跑去检查了队里的几辆车子，果然，车子的电瓶都消失了，毫无痕迹，我猛一回头，周某也不见了，这一切都是那么迅速。      后来几天，全国各地乃至世界都报道电动车、汽车等等的电瓶失踪了，连监控都没有拍到任何东西，而周某也仿佛从世界上消失了。           再后来，听到有的人说在南宁的街上看到了他，也有的说在海边看到了他在喝椰汁，更有人说看到一个背着袋子的长发男子月亮上行走等等。我不知道这些东西是不是真的，但是我唯一确定的就是我们队里的车子电瓶都没了。也许，这一切都是那位大人的计划吧。',)","('52.736%',)","('47.264%',)",负向
"('正义永不缺席，爱暴走大事件，爱王尼玛，支持up主',)","('99.977%',)","('0.023%',)",负向
"('加油，希望正义早日到来！',)","('99.987%',)","('0.012%',)",负向
"('吾雖一介清貧，但敢不負繁華。其實這個世界，醜陋的很多很多，我們需要的是敢於揭發的人，而不是躲在後面的人。加油。',)","('64.092%',)","('35.908%',)",负向
"('加油',)","('99.99%',)","('0.01%',)",负向
"('这会儿才上热搜，简直了',)","('64.143%',)","('35.857%',)",负向
"('2019.10.19的视频了，现在解决了吗？',)","('32.163%',)","('67.837%',)",负向
"('豫章书院还在传播，借疫情在蔓延，大家看见的都出来蹭一下热度吧',)","('61.898%',)","('38.102%',)",负向
"('加油',)","('99.99%',)","('0.01%',)",负向
"('加油，坚持住',)","('99.999%',)","('0.001%',)",负向
"('愿你们会被世界温柔对待',)","('99.508%',)","('0.491%',)",负向
"('同志们，三连啊！让更多的同志们看到！',)","('50.162%',)","('49.838%',)",负向
"('加油！请也一定注意安全',)","('99.224%',)","('0.776%',)",负向
"('加油！！',)","('99.992%',)","('0.008%',)",负向
"('加油！',)","('99.995%',)","('0.005%',)",负向
"('加油',)","('99.99%',)","('0.01%',)",负向
"('17642193141，我的手机号。不是想干什么，只是我除了这个没有别的能帮忙的，如果有需要，我随时可以',)","('17.613%',)","('82.387%',)",负向
"('帮你举报了你这个评论，为了保护你而已。没别的意思',)","('0.001%',)","('99.999%',)",负向
"('帮你举报了这个评论，为了保护你而已。没别的意思',)","('0.001%',)","('99.999%',)",负向
"('快删了吧，很危险',)","('0.098%',)","('99.902%',)",负向
"('都说豫章书院不该被保护，那难道里面那些参与过校园霸凌的霸凌者就该被保护吗？实施家庭暴力的家长们就不要追究吗？为什么进豫章书院，从来没有up说，直说在里面受到了如何如何的对待。这不是一个简单关书院的问题，这是无数个问题家庭共同生出的社会问题。不合格的家长或者颓废的那些年轻人该如何处理才是问题，现在豫章书院只不过是充当一个社会垃圾桶罢了，有好少年进去了，很不幸，可大多数并不是单纯的不幸。',)","('0.008%',)","('99.992%',)",负向
"('↓豫章书院原地爆炸次数',)","('80.351%',)","('19.649%',)",负向
"('现在的家长真的可怕啊[呆]我和我妈说了杨永信电疗和豫章书院的事，可是她的回答几乎和那些家长一样，下面就我妈的观点1.现在的学生越来越娇气了，不像我们那个年代，我爸打我打的嘴巴肿了都有，也没跳楼自杀什么的啊，真是时代的变迁2.现在的人怎么这么不尊敬自己的父母，那些家长也是可怜把孩子拉扯大还被杀死3.如果真的就这样又怎么，别人管你什么事，管好自己的学习，而且怎么可能，人家好歹是个二线（南昌二线底层）（我们3线底层）人家有关部门不会管？然后听我妈的话挺心寒的[呆]至少我妈还是经常陪我对我还好的，只是她的思想我真想骂她，昨天晚上我看这个新闻还看哭了',)","('0.008%',)","('99.992%',)",负向
"('终有一天人们会知道你是英雄',)","('93.495%',)","('6.505%',)",负向
"('@央视新闻',)","('54.085%',)","('45.915%',)",负向
"('生命，尤其是有意义的生命要倍加珍惜，你们一定一定要保护好自己[抱拳]',)","('99.991%',)","('0.009%',)",负向
"('社会还有正义之事，我挺你！必须挺，因为有过同样感受的人有着相同感受',)","('99.946%',)","('0.054%',)",负向
"('正义必胜',)","('96.339%',)","('3.661%',)",负向
"('干他，直接枪毙，关注你了',)","('2.864%',)","('97.136%',)",负向
"('从来都没有什么网瘾它只是一个根本不存在的词有的只是父母的逼迫和不理解说的难听点就是多管闲事',)","('0.439%',)","('99.561%',)",负向
"('持续关注',)","('99.79%',)","('0.21%',)",负向
"('以为完美的结束了，没想到还有后续摸摸up',)","('73.675%',)","('26.325%',)",负向
"('也许你的孩子在童年时期真的有闹腾，有叛逆。家长更应该思考自己的教育问题，而不是把他们送到一个地狱都不如的地方',)","('0.543%',)","('99.457%',)",负向
"('当时听到豫章书院的事情我才知道收的是我这种问题少年，我对于那些受尽虐待的学生心生怜悯，也检讨了自己脱出了混子的世界全国开展扫黑除恶，我相信政府，相信人民警察，共同创建一个美好的中华人民共和国。社会处处都有黑暗，但是终究也会有被照亮的一天',)","('98.966%',)","('1.034%',)",负向
"('尽一点绵薄之力  直接打纪委电话  很管用  很管用  很管用  重要的事情，说三遍',)","('99.724%',)","('0.276%',)",负向
"('BV18E411i78G',)","('99.7%',)","('0.3%',)",负向
"('你们没有孤立无援，除了共青团还有人民群众，我们一直站在你身后',)","('1.263%',)","('98.737%',)",负向
"('是时候@该@的人了',)","('20.247%',)","('79.753%',)",负向
"('我觉得，人并不是生来就坏的，且所谓好坏都是人所定义的，每一个孩子都是社会的作品，都是父母的作品，孩子的人格、精神等个体所具有的，都是社会与其思想所赋予的。而真正使他们心中温暖的，我不清楚是什么，但一定不会是这种昧着良心做事的非人的社会问题所形成的败类，希望那已逝去的孩子放心，希望那精神临近崩溃的孩子放心，因为这世上，还是好人多啊！',)","('14.505%',)","('85.495%',)",负向
"('笑死我了，这个学院完全活该，我们学校老师打人没他们狠，但是还是打人的，有个别老师打人特别狠，我们学校的大部分老师都打人，但是也有少数老师不打人，而且那些老师总是拿师威压我们，老师明明是错的，当他说不过你的时候，他就会开始打你，真的是，这些人不配当老师',)","('0.001%',)","('99.999%',)",负向
"('@优游老人是吴军豹本人的微博 请大家去炸一波 谢谢。',)","('90.541%',)","('9.459%',)",负向
"('up主这种人，我见一次赞一次',)","('99.987%',)","('0.013%',)",负向
"('加油',)","('99.99%',)","('0.01%',)",负向
"('还好我爸妈已经看过豫章书院的那种大字的老年人看的那种新闻，他们都觉得害怕，毕竟我们家俩孩子就我一个以后还能去赚钱的....',)","('48.145%',)","('51.855%',)",负向
"('现在很多封闭式的学校军事化管理，把孩子往学校一送父母就啥都不管了。',)","('22.377%',)","('77.623%',)",负向
"('虽然给不了你太多的帮助，但请记住，我们都在支持你们，也请你们保护自己。一个个都好好的[酸了]',)","('95.337%',)","('4.663%',)",负向
"('加油！！！',)","('99.988%',)","('0.012%',)",负向
"('泪目，内心支持',)","('99.99%',)","('0.01%',)",负向
"('热度不要下来啊',)","('1.903%',)","('98.097%',)",负向
"('邪不胜正',)","('73.51%',)","('26.49%',)",负向
"('龙鞭，用钢筋制作，豫章书院打人神器[热词系列_危]',)","('50.957%',)","('49.043%',)",负向
"('加油加油！！！！',)","('99.995%',)","('0.005%',)",负向
